OBJECTID	src_FID	nbr_FID	LENGTH	NODE_COUNT
653	92	82	100	0
655	92	91	100	0
656	92	93	100	0
658	92	102	100	0
661	93	83	100	0
663	93	92	100	0
664	93	94	100	0
666	93	103	100	0
669	94	84	100	0
671	94	93	100	0
672	94	95	100	0
674	94	104	100	0
677	95	85	100	0
679	95	94	100	0
680	95	96	100	0
682	95	105	100	0
685	96	86	100	0
687	96	95	100	0
688	96	97	100	0
690	96	106	100	0
693	97	87	100	0
695	97	96	100	0
696	97	98	100	0
698	97	107	100	0
701	98	88	100	0
703	98	97	100	0
704	98	99	100	0
706	98	108	100	0
709	99	89	100	0
710	99	98	100	0
712	99	109	100	0
713	100	90	100	0
715	100	101	100	0
716	100	110	100	0
719	101	91	100	0
721	101	100	100	0
722	101	102	100	0
724	101	111	100	0
727	102	92	100	0
729	102	101	100	0
730	102	103	100	0
732	102	112	100	0
735	103	93	100	0
737	103	102	100	0
738	103	104	100	0
740	103	113	100	0
743	104	94	100	0
745	104	103	100	0
746	104	105	100	0
748	104	114	100	0
751	105	95	100	0
753	105	104	100	0
754	105	106	100	0
756	105	115	100	0
759	106	96	100	0
761	106	105	100	0
762	106	107	100	0
764	106	116	100	0
767	107	97	100	0
769	107	106	100	0
770	107	108	100	0
772	107	117	100	0
775	108	98	100	0
777	108	107	100	0
778	108	109	100	0
780	108	118	100	0
783	109	99	100	0
784	109	108	100	0
786	109	119	100	0
787	110	100	100	0
789	110	111	100	0
791	111	101	100	0
793	111	110	100	0
794	111	112	100	0
796	112	102	100	0
798	112	111	100	0
799	112	113	100	0
801	113	103	100	0
803	113	112	100	0
804	113	114	100	0
806	114	104	100	0
808	114	113	100	0
809	114	115	100	0
811	115	105	100	0
813	115	114	100	0
814	115	116	100	0
816	116	106	100	0
818	116	115	100	0
819	116	117	100	0
821	117	107	100	0
823	117	116	100	0
824	117	118	100	0
826	118	108	100	0
828	118	117	100	0
829	118	119	100	0
831	119	109	100	0
832	119	118	100	0
